mood,text,audio,prob_rating,check2,request,workerid,catch_trial,order,check1,condtion,seat,image,modal
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.94,./stim/images/exposure_75_10.png,./stim/text/text-2.png,2,0,0,./stim/images/exposure_10_10.png,4,an aisle seat (blue),./stim/images/exposure_10_10.png,probably
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.71,./stim/images/exposure_40_6.png,./stim/text/text-2.png,2,1,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_6.png,might
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.99,./stim/images/prob_100_1.png,./stim/text/text-1.png,2,0,1,./stim/images/exposure_60_5.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.6,./stim/images/prob_100_1.png,./stim/text/text-2.png,2,0,0,./stim/images/exposure_40_5.png,4,an aisle seat (blue),./stim/images/exposure_40_5.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,1,./stim/images/exposure_90_5.png,./stim/text/text-1.png,2,0,1,./stim/images/exposure_25_5.png,4,a window seat (red),./stim/images/exposure_90_5.png,probably
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.98,./stim/images/exposure_25_10.png,./stim/text/text-1.png,2,0,0,./stim/images/exposure_90_10.png,4,a window seat (red),./stim/images/exposure_90_10.png,probably
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.87,./stim/images/prob_100_1.png,./stim/text/text-1.png,2,0,0,./stim/images/exposure_60_10.png,4,a window seat (red),./stim/images/exposure_60_10.png,might
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.5,./stim/images/prob_100_1.png,./stim/text/text-2.png,2,0,0,./stim/images/exposure_40_10.png,4,an aisle seat (blue),./stim/images/exposure_40_10.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.95,./stim/images/exposure_90_6.png,./stim/text/text-1.png,2,1,1,./stim/images/exposure_25_6.png,4,a window seat (red),./stim/images/exposure_90_6.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.98,./stim/images/exposure_60_6.png,./stim/text/text-1.png,2,1,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.98,./stim/images/prob_100_1.png,./stim/text/text-1.png,2,0,1,./stim/images/exposure_60_10.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might1_s1.mp3,0.66,./stim/images/prob_100_1.png,./stim/text/text-1.png,3,0,0,./stim/images/exposure_60_4.png,4,a window seat (red),./stim/images/exposure_60_4.png,might
control,You'll probably get one.,./stim/audio/control_probably2_s1.mp3,1,./stim/images/exposure_10_10.png,./stim/text/text-2.png,3,1,1,./stim/images/exposure_75_10.png,4,an aisle seat (blue),./stim/images/exposure_10_10.png,probably
control,You'll get one.,./stim/audio/control_bare_s1.mp3,0.96,./stim/images/exposure_60_2.png,./stim/text/text-1.png,3,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.69,./stim/images/prob_100_1.png,./stim/text/text-2.png,3,0,0,./stim/images/exposure_40_4.png,4,an aisle seat (blue),./stim/images/exposure_40_4.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,1,./stim/images/exposure_60_10.png,./stim/text/text-1.png,3,1,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might1_s1.mp3,1,./stim/images/prob_100_1.png,./stim/text/text-1.png,3,1,0,./stim/images/exposure_60_10.png,4,a window seat (red),./stim/images/exposure_60_10.png,might
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.45,./stim/images/prob_100_1.png,./stim/text/text-2.png,3,0,0,./stim/images/exposure_40_2.png,4,an aisle seat (blue),./stim/images/exposure_40_2.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.91,./stim/images/exposure_25_10.png,./stim/text/text-1.png,3,1,0,./stim/images/exposure_90_10.png,4,a window seat (red),./stim/images/exposure_90_10.png,probably
control,You'll probably get one.,./stim/audio/control_probably2_s1.mp3,0.88,./stim/images/exposure_10_4.png,./stim/text/text-2.png,3,0,1,./stim/images/exposure_75_4.png,4,an aisle seat (blue),./stim/images/exposure_10_4.png,probably
control,You'll get one.,./stim/audio/control_bare_s1.mp3,1,./stim/images/exposure_60_4.png,./stim/text/text-1.png,3,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.48,./stim/images/exposure_40_10.png,./stim/text/text-2.png,3,1,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_10.png,might
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.48,./stim/images/exposure_40_10.png,./stim/text/text-2.png,3,1,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_10.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.79,./stim/images/exposure_25_4.png,./stim/text/text-1.png,3,0,0,./stim/images/exposure_90_4.png,4,a window seat (red),./stim/images/exposure_90_4.png,probably
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.79,./stim/images/exposure_25_4.png,./stim/text/text-1.png,3,0,0,./stim/images/exposure_90_4.png,4,a window seat (red),./stim/images/exposure_90_4.png,probably
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.21,./stim/images/exposure_25_6.png,./stim/text/text-1.png,4,1,0,./stim/images/exposure_90_6.png,4,a window seat (red),./stim/images/exposure_90_6.png,probably
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.87,./stim/images/exposure_40_6.png,./stim/text/text-2.png,4,1,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_6.png,might
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.81,./stim/images/exposure_40_1.png,./stim/text/text-2.png,4,0,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_1.png,might
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.67,./stim/images/exposure_60_6.png,./stim/text/text-1.png,4,1,1,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/exposure_60_6.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.19,./stim/images/exposure_90_9.png,./stim/text/text-1.png,4,0,1,./stim/images/exposure_25_9.png,4,a window seat (red),./stim/images/exposure_90_9.png,probably
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.15,./stim/images/exposure_90_1.png,./stim/text/text-1.png,4,0,1,./stim/images/exposure_25_1.png,4,a window seat (red),./stim/images/exposure_90_1.png,probably
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.15,./stim/images/exposure_10_6.png,./stim/text/text-2.png,4,1,1,./stim/images/exposure_75_6.png,4,an aisle seat (blue),./stim/images/exposure_10_6.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.01,./stim/images/exposure_60_1.png,./stim/text/text-1.png,4,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.69,./stim/images/prob_100_1.png,./stim/text/text-1.png,4,0,0,./stim/images/exposure_60_9.png,4,a window seat (red),./stim/images/exposure_60_9.png,might
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.59,./stim/images/prob_100_1.png,./stim/text/text-2.png,4,0,0,./stim/images/exposure_40_9.png,4,an aisle seat (blue),./stim/images/exposure_40_9.png,might
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.78,./stim/images/exposure_75_9.png,./stim/text/text-2.png,4,0,0,./stim/images/exposure_10_9.png,4,an aisle seat (blue),./stim/images/exposure_10_9.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.96,./stim/images/exposure_60_9.png,./stim/text/text-1.png,4,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.94,./stim/images/prob_100_1.png,./stim/text/text-1.png,4,1,1,./stim/images/exposure_60_6.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.54,./stim/images/exposure_40_10.png,./stim/text/text-2.png,5,0,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_10.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,0.96,./stim/images/prob_100_1.png,./stim/text/text-1.png,5,1,1,./stim/images/exposure_60_8.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.89,./stim/images/exposure_90_8.png,./stim/text/text-1.png,5,1,1,./stim/images/exposure_25_8.png,4,a window seat (red),./stim/images/exposure_90_8.png,probably
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.95,./stim/images/exposure_25_10.png,./stim/text/text-1.png,5,0,0,./stim/images/exposure_90_10.png,4,a window seat (red),./stim/images/exposure_90_10.png,probably
control,You'll get one.,./stim/audio/control_bare_s1.mp3,1,./stim/images/exposure_60_10.png,./stim/text/text-1.png,5,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll probably get one.,./stim/audio/control_probably1_s1.mp3,0.88,./stim/images/exposure_25_5.png,./stim/text/text-1.png,5,0,0,./stim/images/exposure_90_5.png,4,a window seat (red),./stim/images/exposure_90_5.png,probably
control,You might get one.,./stim/audio/control_might1_s1.mp3,0.41,./stim/images/exposure_60_8.png,./stim/text/text-1.png,5,1,1,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/exposure_60_8.png,might
control,You'll get one.,./stim/audio/control_bare_s1.mp3,0.98,./stim/images/prob_100_1.png,./stim/text/text-1.png,5,0,1,./stim/images/exposure_60_5.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might1_s1.mp3,0.47,./stim/images/prob_100_1.png,./stim/text/text-1.png,5,0,0,./stim/images/exposure_60_5.png,4,a window seat (red),./stim/images/exposure_60_5.png,might
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.3,./stim/images/prob_100_1.png,./stim/text/text-2.png,5,0,0,./stim/images/exposure_40_5.png,4,an aisle seat (blue),./stim/images/exposure_40_5.png,might
control,You'll probably get one.,./stim/audio/control_probably2_s1.mp3,0.81,./stim/images/exposure_10_8.png,./stim/text/text-2.png,5,1,1,./stim/images/exposure_75_8.png,4,an aisle seat (blue),./stim/images/exposure_10_8.png,probably
control,You'll probably get one.,./stim/audio/control_probably2_s1.mp3,0.9,./stim/images/exposure_75_5.png,./stim/text/text-2.png,5,0,0,./stim/images/exposure_10_5.png,4,an aisle seat (blue),./stim/images/exposure_10_5.png,probably
control,You might get one.,./stim/audio/control_might2_s1.mp3,0.5,./stim/images/exposure_40_8.png,./stim/text/text-2.png,5,1,1,./stim/images/prob_100_1.png,4,an aisle seat (blue),./stim/images/exposure_40_8.png,might
control,You'll probably get one.,./stim/audio/control_probably1_s2.mp3,0.91,./stim/images/exposure_90_8.png,./stim/text/text-1.png,6,0,1,./stim/images/exposure_25_8.png,4,a window seat (red),./stim/images/exposure_90_8.png,probably
control,You might get one.,./stim/audio/control_might1_s2.mp3,0.55,./stim/images/exposure_60_5.png,./stim/text/text-1.png,6,1,1,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/exposure_60_5.png,might
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.64,./stim/images/prob_100_1.png,./stim/text/text-2.png,6,1,0,./stim/images/exposure_40_5.png,4,an aisle seat (blue),./stim/images/exposure_40_5.png,might
control,You'll probably get one.,./stim/audio/control_probably2_s2.mp3,0.94,./stim/images/exposure_10_5.png,./stim/text/text-2.png,6,1,1,./stim/images/exposure_75_5.png,4,an aisle seat (blue),./stim/images/exposure_10_5.png,probably
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.94,./stim/images/prob_100_1.png,./stim/text/text-1.png,6,0,1,./stim/images/exposure_60_8.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You'll get one.,./stim/audio/control_bare_s2.mp3,0.93,./stim/images/exposure_60_4.png,./stim/text/text-1.png,6,0,0,./stim/images/prob_100_1.png,4,a window seat (red),./stim/images/prob_100_1.png,bare
control,You might get one.,./stim/audio/control_might2_s2.mp3,0.63,./stim/images/prob_100_1.png,./stim/text/text-2.png,6,0,0,./stim/images/exposure_40_4.png,4,an aisle seat (blue),./stim/images/exposure_40_4.png,might
