image,catch_trial,order,request,check1,audio,catch_trial_answer_correct,modal,mood,check2,seat,condtion,workerid,text
./stim/images/exposure_40_7.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_7.png,aisle,4,1,You might get one.
./stim/images/exposure_40_10.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,1,might,control,./stim/images/exposure_40_10.png,aisle,4,1,You might get one.
./stim/images/exposure_10_1.png,0,1,./stim/text/text-2.png,./stim/images/exposure_75_1.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_10_1.png,aisle,4,1,You'll probably get one.
./stim/images/prob_100_1.png,1,1,./stim/text/text-1.png,./stim/images/exposure_60_10.png,./stim/audio/control_bare_s2.mp3,1,bare,control,./stim/images/prob_100_1.png,window,4,1,You'll get one.
./stim/images/exposure_40_1.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_1.png,aisle,4,1,You might get one.
./stim/images/exposure_10_10.png,1,0,./stim/text/text-2.png,./stim/images/exposure_10_10.png,./stim/audio/control_probably2_s2.mp3,1,probably,control,./stim/images/exposure_75_10.png,aisle,4,1,You'll probably get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/exposure_60_7.png,window,4,1,You'll get one.
./stim/images/exposure_10_2.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_2.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_75_2.png,aisle,4,1,You'll probably get one.
./stim/images/exposure_60_7.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/exposure_60_7.png,window,4,1,You might get one.
./stim/images/exposure_40_2.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_2.png,aisle,4,1,You might get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/exposure_60_1.png,window,4,1,You'll get one.
./stim/images/exposure_90_3.png,1,1,./stim/text/text-1.png,./stim/images/exposure_25_3.png,./stim/audio/control_probably1_s2.mp3,1,probably,control,./stim/images/exposure_90_3.png,window,4,1,You'll probably get one.
./stim/images/exposure_10_3.png,1,1,./stim/text/text-2.png,./stim/images/exposure_75_3.png,./stim/audio/control_probably2_s2.mp3,1,probably,control,./stim/images/exposure_10_3.png,aisle,4,1,You'll probably get one.
./stim/images/exposure_40_3.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,1,might,control,./stim/images/exposure_40_3.png,aisle,4,1,You might get one.
./stim/images/prob_100_1.png,0,1,./stim/text/text-1.png,./stim/images/exposure_60_2.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/prob_100_1.png,window,4,1,You'll get one.
./stim/images/prob_100_1.png,1,1,./stim/text/text-1.png,./stim/images/exposure_60_3.png,./stim/audio/control_bare_s2.mp3,1,bare,control,./stim/images/prob_100_1.png,window,4,1,You'll get one.
./stim/images/exposure_60_3.png,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,1,might,control,./stim/images/exposure_60_3.png,window,4,1,You might get one.
./stim/images/exposure_60_2.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/exposure_60_2.png,window,4,1,You might get one.
./stim/images/exposure_60_10.png,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,1,might,control,./stim/images/exposure_60_10.png,window,4,1,You might get one.
./stim/images/exposure_10_7.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_7.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_75_7.png,aisle,4,1,You'll probably get one.
./stim/images/exposure_40_2.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_2.png,aisle,4,2,You might get one.
./stim/images/exposure_60_5.png,1,0,./stim/text/text-1.png,./stim/images/exposure_60_5.png,./stim/audio/control_might1_s2.mp3,1,might,control,./stim/images/prob_100_1.png,window,4,2,You might get one.
./stim/images/prob_100_1.png,0,1,./stim/text/text-1.png,./stim/images/exposure_60_2.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/prob_100_1.png,window,4,2,You'll get one.
./stim/images/exposure_60_2.png,0,0,./stim/text/text-1.png,./stim/images/exposure_60_2.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/prob_100_1.png,window,4,2,You might get one.
./stim/images/exposure_10_5.png,1,0,./stim/text/text-2.png,./stim/images/exposure_10_5.png,./stim/audio/control_probably2_s2.mp3,1,probably,control,./stim/images/exposure_75_5.png,aisle,4,2,You'll probably get one.
./stim/images/exposure_10_10.png,1,0,./stim/text/text-2.png,./stim/images/exposure_10_10.png,./stim/audio/control_probably2_s2.mp3,1,probably,control,./stim/images/exposure_75_10.png,aisle,4,2,You'll probably get one.
./stim/images/exposure_40_5.png,1,0,./stim/text/text-2.png,./stim/images/exposure_40_5.png,./stim/audio/control_might2_s2.mp3,1,might,control,./stim/images/prob_100_1.png,aisle,4,2,You might get one.
./stim/images/exposure_90_1.png,0,1,./stim/text/text-1.png,./stim/images/exposure_25_1.png,./stim/audio/control_probably1_s2.mp3,-1,probably,control,./stim/images/exposure_90_1.png,window,4,2,You'll probably get one.
./stim/images/exposure_90_10.png,1,1,./stim/text/text-1.png,./stim/images/exposure_25_10.png,./stim/audio/control_probably1_s2.mp3,1,probably,control,./stim/images/exposure_90_10.png,window,4,2,You'll probably get one.
./stim/images/exposure_60_1.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/exposure_60_1.png,window,4,2,You might get one.
./stim/images/exposure_60_3.png,0,0,./stim/text/text-1.png,./stim/images/exposure_60_3.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/prob_100_1.png,window,4,2,You might get one.
./stim/images/prob_100_1.png,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,1,bare,control,./stim/images/exposure_60_5.png,window,4,2,You'll get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/exposure_60_3.png,window,4,2,You'll get one.
./stim/images/exposure_10_2.png,0,1,./stim/text/text-2.png,./stim/images/exposure_75_2.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_10_2.png,aisle,4,2,You'll probably get one.
./stim/images/exposure_10_3.png,0,1,./stim/text/text-2.png,./stim/images/exposure_75_3.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_10_3.png,aisle,4,2,You'll probably get one.
./stim/images/exposure_40_1.png,0,0,./stim/text/text-2.png,./stim/images/exposure_40_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/prob_100_1.png,aisle,4,2,You might get one.
./stim/images/prob_100_1.png,1,1,./stim/text/text-1.png,./stim/images/exposure_60_10.png,./stim/audio/control_bare_s2.mp3,1,bare,control,./stim/images/prob_100_1.png,window,4,2,You'll get one.
./stim/images/exposure_90_3.png,0,1,./stim/text/text-1.png,./stim/images/exposure_25_3.png,./stim/audio/control_probably1_s2.mp3,-1,probably,control,./stim/images/exposure_90_3.png,window,4,2,You'll probably get one.
./stim/images/exposure_90_2.png,0,1,./stim/text/text-1.png,./stim/images/exposure_25_2.png,./stim/audio/control_probably1_s2.mp3,-1,probably,control,./stim/images/exposure_90_2.png,window,4,2,You'll probably get one.
./stim/images/exposure_60_10.png,1,0,./stim/text/text-1.png,./stim/images/exposure_60_10.png,./stim/audio/control_might1_s2.mp3,1,might,control,./stim/images/prob_100_1.png,window,4,2,You might get one.
./stim/images/exposure_40_10.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,1,might,control,./stim/images/exposure_40_10.png,aisle,4,2,You might get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/exposure_60_1.png,window,4,2,You'll get one.
./stim/images/exposure_90_5.png,1,0,./stim/text/text-1.png,./stim/images/exposure_90_5.png,./stim/audio/control_probably1_s2.mp3,1,probably,control,./stim/images/exposure_25_5.png,window,4,2,You'll probably get one.
./stim/images/exposure_10_1.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_1.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_75_1.png,aisle,4,2,You'll probably get one.
./stim/images/exposure_40_3.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_3.png,aisle,4,2,You might get one.
./stim/images/prob_100_1.png,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s1.mp3,1,bare,control,./stim/images/exposure_60_8.png,window,4,3,You'll get one.
./stim/images/exposure_10_2.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_2.png,./stim/audio/control_probably2_s1.mp3,-1,probably,control,./stim/images/exposure_75_2.png,aisle,4,3,You'll probably get one.
./stim/images/exposure_10_5.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_5.png,./stim/audio/control_probably2_s1.mp3,-1,probably,control,./stim/images/exposure_75_5.png,aisle,4,3,You'll probably get one.
./stim/images/exposure_60_2.png,0,0,./stim/text/text-1.png,./stim/images/exposure_60_2.png,./stim/audio/control_might1_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,window,4,3,You might get one.
./stim/images/exposure_90_2.png,0,0,./stim/text/text-1.png,./stim/images/exposure_90_2.png,./stim/audio/control_probably1_s1.mp3,-1,probably,control,./stim/images/exposure_25_2.png,window,4,3,You'll probably get one.
./stim/images/prob_100_1.png,0,1,./stim/text/text-1.png,./stim/images/exposure_60_2.png,./stim/audio/control_bare_s1.mp3,-1,bare,control,./stim/images/prob_100_1.png,window,4,3,You'll get one.
./stim/images/exposure_40_4.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s1.mp3,1,might,control,./stim/images/exposure_40_4.png,aisle,4,3,You might get one.
./stim/images/exposure_40_2.png,0,0,./stim/text/text-2.png,./stim/images/exposure_40_2.png,./stim/audio/control_might2_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,aisle,4,3,You might get one.
./stim/images/exposure_90_4.png,1,1,./stim/text/text-1.png,./stim/images/exposure_25_4.png,./stim/audio/control_probably1_s1.mp3,1,probably,control,./stim/images/exposure_90_4.png,window,4,3,You'll probably get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s1.mp3,-1,bare,control,./stim/images/exposure_60_7.png,window,4,3,You'll get one.
./stim/images/exposure_60_4.png,1,0,./stim/text/text-1.png,./stim/images/exposure_60_4.png,./stim/audio/control_might1_s1.mp3,1,might,control,./stim/images/prob_100_1.png,window,4,3,You might get one.
./stim/images/exposure_40_7.png,0,0,./stim/text/text-2.png,./stim/images/exposure_40_7.png,./stim/audio/control_might2_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,aisle,4,3,You might get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s1.mp3,-1,bare,control,./stim/images/exposure_60_5.png,window,4,3,You'll get one.
./stim/images/exposure_60_8.png,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s1.mp3,1,might,control,./stim/images/exposure_60_8.png,window,4,3,You might get one.
./stim/images/exposure_10_4.png,1,1,./stim/text/text-2.png,./stim/images/exposure_75_4.png,./stim/audio/control_probably2_s1.mp3,1,probably,control,./stim/images/exposure_10_4.png,aisle,4,3,You'll probably get one.
./stim/images/exposure_10_7.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_7.png,./stim/audio/control_probably2_s1.mp3,-1,probably,control,./stim/images/exposure_75_7.png,aisle,4,3,You'll probably get one.
./stim/images/exposure_60_5.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s1.mp3,-1,might,control,./stim/images/exposure_60_5.png,window,4,3,You might get one.
./stim/images/exposure_90_7.png,0,0,./stim/text/text-1.png,./stim/images/exposure_90_7.png,./stim/audio/control_probably1_s1.mp3,-1,probably,control,./stim/images/exposure_25_7.png,window,4,3,You'll probably get one.
./stim/images/exposure_10_8.png,1,0,./stim/text/text-2.png,./stim/images/exposure_10_8.png,./stim/audio/control_probably2_s1.mp3,1,probably,control,./stim/images/exposure_75_8.png,aisle,4,3,You'll probably get one.
./stim/images/exposure_40_8.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s1.mp3,1,might,control,./stim/images/exposure_40_8.png,aisle,4,3,You might get one.
./stim/images/exposure_90_8.png,1,0,./stim/text/text-1.png,./stim/images/exposure_90_8.png,./stim/audio/control_probably1_s1.mp3,1,probably,control,./stim/images/exposure_25_8.png,window,4,3,You'll probably get one.
./stim/images/prob_100_1.png,1,1,./stim/text/text-1.png,./stim/images/exposure_60_4.png,./stim/audio/control_bare_s1.mp3,1,bare,control,./stim/images/prob_100_1.png,window,4,3,You'll get one.
./stim/images/exposure_90_5.png,0,0,./stim/text/text-1.png,./stim/images/exposure_90_5.png,./stim/audio/control_probably1_s1.mp3,-1,probably,control,./stim/images/exposure_25_5.png,window,4,3,You'll probably get one.
./stim/images/exposure_60_7.png,0,0,./stim/text/text-1.png,./stim/images/exposure_60_7.png,./stim/audio/control_might1_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,window,4,3,You might get one.
./stim/images/exposure_40_5.png,0,0,./stim/text/text-2.png,./stim/images/exposure_40_5.png,./stim/audio/control_might2_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,aisle,4,3,You might get one.
./stim/images/exposure_40_10.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,1,might,control,./stim/images/exposure_40_10.png,aisle,4,4,You might get one.
./stim/images/exposure_10_10.png,1,1,./stim/text/text-2.png,./stim/images/exposure_75_10.png,./stim/audio/control_probably2_s2.mp3,1,probably,control,./stim/images/exposure_10_10.png,aisle,4,4,You'll probably get one.
./stim/images/exposure_10_1.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_1.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_75_1.png,aisle,4,4,You'll probably get one.
./stim/images/exposure_10_6.png,0,0,./stim/text/text-2.png,./stim/images/exposure_10_6.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_75_6.png,aisle,4,4,You'll probably get one.
./stim/images/prob_100_1.png,1,1,./stim/text/text-1.png,./stim/images/exposure_60_4.png,./stim/audio/control_bare_s2.mp3,1,bare,control,./stim/images/prob_100_1.png,window,4,4,You'll get one.
./stim/images/exposure_40_2.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_2.png,aisle,4,4,You might get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/exposure_60_1.png,window,4,4,You'll get one.
./stim/images/prob_100_1.png,0,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/exposure_60_2.png,window,4,4,You'll get one.
./stim/images/exposure_60_4.png,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,1,might,control,./stim/images/exposure_60_4.png,window,4,4,You might get one.
./stim/images/prob_100_1.png,0,1,./stim/text/text-1.png,./stim/images/exposure_60_6.png,./stim/audio/control_bare_s2.mp3,-1,bare,control,./stim/images/prob_100_1.png,window,4,4,You'll get one.
./stim/images/prob_100_1.png,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s2.mp3,1,bare,control,./stim/images/exposure_60_10.png,window,4,4,You'll get one.
./stim/images/exposure_90_4.png,1,0,./stim/text/text-1.png,./stim/images/exposure_90_4.png,./stim/audio/control_probably1_s2.mp3,1,probably,control,./stim/images/exposure_25_4.png,window,4,4,You'll probably get one.
./stim/images/exposure_60_1.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/exposure_60_1.png,window,4,4,You might get one.
./stim/images/exposure_90_1.png,0,0,./stim/text/text-1.png,./stim/images/exposure_90_1.png,./stim/audio/control_probably1_s2.mp3,-1,probably,control,./stim/images/exposure_25_1.png,window,4,4,You'll probably get one.
./stim/images/exposure_40_4.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,1,might,control,./stim/images/exposure_40_4.png,aisle,4,4,You might get one.
./stim/images/exposure_60_10.png,1,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,1,might,control,./stim/images/exposure_60_10.png,window,4,4,You might get one.
./stim/images/exposure_10_2.png,0,1,./stim/text/text-2.png,./stim/images/exposure_75_2.png,./stim/audio/control_probably2_s2.mp3,-1,probably,control,./stim/images/exposure_10_2.png,aisle,4,4,You'll probably get one.
./stim/images/exposure_90_6.png,0,0,./stim/text/text-1.png,./stim/images/exposure_90_6.png,./stim/audio/control_probably1_s2.mp3,-1,probably,control,./stim/images/exposure_25_6.png,window,4,4,You'll probably get one.
./stim/images/exposure_60_6.png,0,0,./stim/text/text-1.png,./stim/images/exposure_60_6.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/prob_100_1.png,window,4,4,You might get one.
./stim/images/exposure_10_4.png,1,0,./stim/text/text-2.png,./stim/images/exposure_10_4.png,./stim/audio/control_probably2_s2.mp3,1,probably,control,./stim/images/exposure_75_4.png,aisle,4,4,You'll probably get one.
./stim/images/exposure_40_1.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_1.png,aisle,4,4,You might get one.
./stim/images/exposure_90_2.png,0,1,./stim/text/text-1.png,./stim/images/exposure_25_2.png,./stim/audio/control_probably1_s2.mp3,-1,probably,control,./stim/images/exposure_90_2.png,window,4,4,You'll probably get one.
./stim/images/exposure_60_2.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s2.mp3,-1,might,control,./stim/images/exposure_60_2.png,window,4,4,You might get one.
./stim/images/exposure_90_10.png,1,1,./stim/text/text-1.png,./stim/images/exposure_25_10.png,./stim/audio/control_probably1_s2.mp3,1,probably,control,./stim/images/exposure_90_10.png,window,4,4,You'll probably get one.
./stim/images/exposure_40_6.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s2.mp3,-1,might,control,./stim/images/exposure_40_6.png,aisle,4,4,You might get one.
./stim/images/exposure_60_9.png,0,1,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_might1_s1.mp3,-1,might,control,./stim/images/exposure_60_9.png,window,4,5,You might get one.
./stim/images/exposure_40_9.png,0,0,./stim/text/text-2.png,./stim/images/exposure_40_9.png,./stim/audio/control_might2_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,aisle,4,5,You might get one.
./stim/images/prob_100_1.png,1,0,./stim/text/text-1.png,./stim/images/prob_100_1.png,./stim/audio/control_bare_s1.mp3,1,bare,control,./stim/images/exposure_60_4.png,window,4,5,You'll get one.
./stim/images/exposure_40_3.png,1,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s1.mp3,1,might,control,./stim/images/exposure_40_3.png,aisle,4,5,You might get one.
./stim/images/exposure_60_5.png,0,0,./stim/text/text-1.png,./stim/images/exposure_60_5.png,./stim/audio/control_might1_s1.mp3,-1,might,control,./stim/images/prob_100_1.png,window,4,5,You might get one.
./stim/images/exposure_40_6.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s1.mp3,-1,might,control,./stim/images/exposure_40_6.png,aisle,4,5,You might get one.
./stim/images/exposure_10_3.png,1,1,./stim/text/text-2.png,./stim/images/exposure_75_3.png,./stim/audio/control_probably2_s1.mp3,1,probably,control,./stim/images/exposure_10_3.png,aisle,4,5,You'll probably get one.
./stim/images/exposure_40_5.png,0,1,./stim/text/text-2.png,./stim/images/prob_100_1.png,./stim/audio/control_might2_s1.mp3,-1,might,control,./stim/images/exposure_40_5.png,aisle,4,5,You might get one.
